target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape,sample_weight_used,high_threshold
B,literature_2019_2020,spatial_baseline_residual_zone,XGBoost,"failed: [21:54:07] /__w/xgboost/xgboost/src/data/data.cc:568: Check failed: valid: Label contains NaN, infinity or a value too large.
Stack trace:
  [bt] (0) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x2c1a8c) [0x7fbc932c1a8c]
  [bt] (1) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x5b06b9) [0x7fbc935b06b9]
  [bt] (2) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x5b1655) [0x7fbc935b1655]
  [bt] (3) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(XGDMatrixSetInfoFromInterface+0x10b) [0x7fbc931c9cab]
  [bt] (4) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x650052) [0x7fbdec641052]
  [bt] (5) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x64ed61) [0x7fbdec63fd61]
  [bt] (6) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x64e96e) [0x7fbdec63f96e]
  [bt] (7) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x2bdeac) [0x7fbdec2aeeac]
  [bt] (8) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x2bda3c) [0x7fbdec2aea3c]

",,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,XGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.00530500163958858,-0.1465559433042276,2.1679890544939306,1.0499300991141798,224.72382791066883,True,
B,literature_2019_2020,direct_global,LightGBM,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.1706219759780474,-0.4143415195267408,2.3519086780944827,1.1811643338184254,294.87328200719713,,
B,literature_2019_2020,spatial_zone_features,LightGBM,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.14753574957047322,-0.35453650065265196,2.328601807530372,1.156618034267832,302.3688249730431,,
B,literature_2019_2020,spatial_baseline_residual,LightGBM,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,spatial_baseline_residual_zone,LightGBM,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,LightGBM,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.13095580716548305,-0.3375606917700873,2.311718431211876,1.1163668952331482,270.4592988489975,True,
B,literature_2019_2020,two_stage_high_pollution,LightGBM,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.11632631006393312,-0.3822073198699403,2.2967181286086245,1.2238513333650518,293.89452975709247,,1.2769999999999992
B,literature_2019_2020,direct_global,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.008222545625557687,-0.0863232770957778,2.1648072508392433,0.9837149940397871,216.44721851324073,,
B,literature_2019_2020,spatial_zone_features,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.05095540534106491,-0.025000309088912598,2.117656073517537,0.9742536452823742,207.72492844947462,,
B,literature_2019_2020,spatial_baseline_residual,CatBoost,failed: catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data,,,,,,,,,,,,,
B,literature_2019_2020,spatial_baseline_residual_zone,CatBoost,failed: catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data,,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.024444339656498948,-0.03893734217694078,2.14703015789277,0.9713211587861933,212.9808636192573,True,
B,literature_2019_2020,two_stage_high_pollution,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.06119436530090705,-0.14113147090906208,2.1062017144430913,1.0963309242751835,279.8003769636258,,1.2769999999999992
B,literature_2019_2020,direct_global,NGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.9805036542820891,-0.41265307821410224,3.0591441523423013,1.211256682948776,328.2579684019222,,
B,literature_2019_2020,spatial_zone_features,NGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.7400482560743666,-0.3693813589880599,2.867429602448906,1.1633841088108112,310.4227416896144,,
B,literature_2019_2020,spatial_baseline_residual,NGBoost,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,spatial_baseline_residual_zone,NGBoost,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,NGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.7054550241769584,-0.3959312799503576,2.838783377551763,1.1854122908495375,315.53134263155005,False,
C,literature_2019_2020,direct_global,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.044175359529460057,-0.029682922942079415,51.230573113960595,24.94512648530722,37.70582700126879,,
C,literature_2019_2020,spatial_zone_features,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.027183804854075788,-0.08389087278396246,51.68392638910458,25.51619061273329,38.34149501276622,,
C,literature_2019_2020,spatial_baseline_residual,RF,failed: Input y contains NaN.,,,,,,,,,,,,,
