target,spatial_block,model,status,n_train,n_test,n_features,lon_min,lon_max,lat_min,lat_max,r2,r2_log1p,rmse,mae,mape
H,1,RF,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.012366021686976758,-0.009132322014614225,0.49816484021794644,0.128503744078246,57.54089066367324
H,1,ElasticNet,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.044614472130188876,-0.1052241388295232,0.5060370453666675,0.13831791444270358,52.357917018881594
A,2,ExtraTrees,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.04039841965292923,-0.15160925941010772,4.659511196828787,3.7114566844835633,77.38852580934885
A,2,HistGBR,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.027237672475623143,-0.108667473989708,4.629946650888456,3.615029878038306,73.31329183621922
A,2,LightGBM,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.227900659658669,-0.2563306550699034,5.061999921679255,4.038982809364465,83.06270471901762
A,2,XGBoost,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,0.03609699999177418,-0.06400919621236523,4.48494564221469,3.540310056783857,71.46757986680838
A,2,RF,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,0.02953759372565079,-0.044795743393574616,4.500179904067698,3.542462306653653,69.74177720285908
A,2,ElasticNet,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-2.4075550800730756,-4.362458175829584,8.432608930926515,7.095024637636432,65.40177791467627
B,2,ExtraTrees,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.11205662324936383,-0.15126886759896485,0.764398136670057,0.4539474440895017,186.32403677305223
B,2,HistGBR,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.20826216780309337,-0.2883799000180629,0.7967769427278579,0.4089612407187589,109.62770283379434
B,2,LightGBM,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.18346266058188765,-0.2573492734746812,0.7885576498964113,0.3975196938576053,95.80710515359456
B,2,XGBoost,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.18753943560780972,-0.2686762473815172,0.7899146882081187,0.4328856064192135,141.3518904172582
B,2,RF,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.09166762199306788,-0.0904944729298629,0.7573582908740706,0.41073987118260996,138.28334261366544
B,2,ElasticNet,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.3984086446676558,-0.7428821906144751,0.8571823484022573,0.45753102189781025,100.0
C,2,ExtraTrees,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.3126340140002235,-0.19828300866005244,25.701277999275263,18.325373976836442,48.06723074057187
C,2,HistGBR,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.275447132224208,-0.21597909786001934,25.334604163569153,18.680600972848854,50.087419629505156
C,2,LightGBM,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.11692612348749032,-0.08068079226364899,23.708010811686393,17.744404126488874,52.80701255141583
C,2,XGBoost,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.26840026434871267,-0.16475277045458991,25.26452015848133,18.235166750942703,48.080778521670425
C,2,RF,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.16503180340026113,-0.05096391252363852,24.213177337029126,17.353485793104756,47.74719490733069
C,2,ElasticNet,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-1.8085505114043512,-3.2704683189380637,37.59447391255966,30.21582026598584,60.38975330118568
D,2,ExtraTrees,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.2056096559424514,-0.29761129397462915,14.411424231420153,9.315899296139328,32.25233154672279
D,2,HistGBR,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.2191109427690474,-0.31463263884115844,14.49189433159711,9.350674812782858,33.1549701834706
D,2,LightGBM,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.16139551539818786,-0.2722947062892991,14.144695945367156,9.694111220389303,36.92042828638098
D,2,XGBoost,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.23064310528041831,-0.2878968470305685,14.560275932026496,9.243026111842244,31.468271958948353
D,2,RF,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.15890863675548328,-0.1597438905204125,14.129543918124702,8.856871823735093,29.81675731140548
D,2,ElasticNet,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-2.707525718999723,-14.181968786634908,25.272350150877866,21.644708046345496,73.31357437381413
