protocol,target,feature_set,method,model,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
temporal_2022_2026,E,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,938,34,223,0.45217267272298656,0.32567923034592206,18.011364854837716,8.773764733959245,21.862092023324056
temporal_2022_2026,E,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,0.33727404744262357,0.27105900474815414,19.810332579386305,10.632516386929026,26.53371879669229
temporal_2022_2026,E,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,938,34,223,-0.33827349966279585,-0.9483104946619549,28.151219735304906,11.958604114749225,25.555789840578687
temporal_2022_2026,E,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.41615380021852644,0.34781238547631155,18.59405051457334,9.472539916543399,22.61078664091011
temporal_2022_2026,E,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,938,34,223,0.4281545059761134,0.2670365556822625,18.401961988048022,9.520716870019696,25.030396595755043
temporal_2022_2026,F,spatial_distribution_only,spatial_distribution_features,ExtraTrees,938,34,139,0.10507607879076986,-0.39286720378099327,76.0992776578956,46.665098431908056,34.655927938218774
temporal_2022_2026,F,spatial_distribution_only,spatial_distribution_features,HistGBR,938,34,139,-0.09359856389311427,-0.777175396416049,84.12332725334689,55.7268836569334,43.778212687126086
temporal_2022_2026,F,spatial_distribution_only,spatial_distribution_features,ElasticNet,938,34,139,-0.09260516652689899,-1.3081948856411896,84.08511081778434,58.156354416267476,46.46557378999925
temporal_2022_2026,F,spatial_distribution_only,spatial_distribution_features,XGBoost,938,34,139,-0.06771524556726272,-0.7036139732608029,83.12184950632961,49.16019009040383,36.1816259677451
temporal_2022_2026,F,spatial_distribution_only,spatial_distribution_features,LightGBM,938,34,139,0.18527541672335568,-0.33088118832361224,72.60940641237299,44.735727344986344,35.8099974024191
temporal_2022_2026,F,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,938,34,223,0.11481438674501654,-0.4048455200434238,75.68409974267509,46.756927793203516,34.62777097766114
temporal_2022_2026,F,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,-0.10898464608081726,-0.688869813157956,84.71303524460765,55.34216801442449,44.91196736680693
temporal_2022_2026,F,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,938,34,223,-0.19952621444300456,-1.5059374002613266,88.10333490479675,59.57662637673353,46.23985534201114
temporal_2022_2026,F,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,-0.020188434453161985,-0.6457398800008887,81.25080525857993,52.065300667257866,40.589603020116
temporal_2022_2026,F,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,938,34,223,0.07175100707706528,-0.39363984473715186,77.50321517794602,49.81238284681633,38.730932098921464
temporal_2022_2026,G,spatial_distribution_only,spatial_distribution_features,ExtraTrees,938,34,139,0.03140297035535966,-0.16929870578446438,27.004557671673876,19.59672413666695,38.8727350700888
temporal_2022_2026,G,spatial_distribution_only,spatial_distribution_features,HistGBR,938,34,139,0.10379880208575643,-0.06416437612745907,25.975759916889764,20.082316176820267,37.5395290382345
temporal_2022_2026,G,spatial_distribution_only,spatial_distribution_features,ElasticNet,938,34,139,0.018270334199116167,-0.18499348038126917,27.187010749835935,20.164145879297916,40.01634078370128
temporal_2022_2026,G,spatial_distribution_only,spatial_distribution_features,XGBoost,938,34,139,0.02776022175692039,-0.20667832441947942,27.05529006896227,18.697077334235697,38.62994571624419
temporal_2022_2026,G,spatial_distribution_only,spatial_distribution_features,LightGBM,938,34,139,-0.22876553735465932,-0.35030116070121653,30.41585385520898,21.672115530109693,41.509197879105855
temporal_2022_2026,G,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,938,34,223,-0.010007117151420886,-0.15651938805473953,27.57577447855237,21.65658793792135,40.62369146621022
temporal_2022_2026,G,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,-0.027205013824431745,-0.1769678585947032,27.80955675387565,20.990855959266867,39.98393595469014
temporal_2022_2026,G,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,938,34,223,-0.6245324678548592,-0.44824027751487394,34.97274323547423,24.98478611833991,46.775779196438954
temporal_2022_2026,G,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.10893557628803452,-0.20730868108194112,25.90121004917497,19.271868383071002,40.12374654143669
temporal_2022_2026,G,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,938,34,223,-0.28204344278923554,-0.36284410803909006,31.068255815479866,23.309624756624515,44.12799393312953
temporal_2022_2026,H,spatial_distribution_only,spatial_distribution_features,ExtraTrees,938,34,139,-2.428420301140716,-1.8065964261345027,0.43660941906808615,0.196211276410667,341.48884744033967
temporal_2022_2026,H,spatial_distribution_only,spatial_distribution_features,HistGBR,938,34,139,-0.15779821838132602,-0.21865341118379011,0.2537245611616264,0.13076657428898408,209.79954086597004
temporal_2022_2026,H,spatial_distribution_only,spatial_distribution_features,ElasticNet,938,34,139,-2.4160589606858895,-1.8361449360665212,0.43582159977397056,0.20013670695910224,344.5068883593692
temporal_2022_2026,H,spatial_distribution_only,spatial_distribution_features,XGBoost,938,34,139,-0.19401784264307764,-0.23998413814596953,0.25766265640526304,0.1321714029487442,216.2983604891819
