target,validation,fold,model,status,n_train,n_test,r2,r2_log1p,rmse,mae,mape
G,random_fivefold_cv,2,XGBoost,ok,777,195,0.04591992283878976,0.0356595465922821,123.62883395675155,48.375893749061,75.50800434086668
G,random_fivefold_cv,3,XGBoost,ok,778,194,-0.09261391074727188,0.00541611676650311,77.08886311596936,35.857618088995544,34.787783197235115
G,random_fivefold_cv,4,XGBoost,ok,778,194,0.05659139664487145,0.03365394155694246,161.36093944330426,49.14757942111615,49.31994162610432
G,random_fivefold_cv,5,XGBoost,ok,778,194,-0.01697007058472444,0.0008776980896006981,737.3415368592163,126.56627007215049,35.88342142412261
G,random_fivefold_cv,pooled,XGBoost,ok,778,972,-0.012468902034065588,0.0033005377077168774,354.454142946002,64.80417447341165,48.63718794131246
G,random_fivefold_cv,1,LightGBM,ok,777,195,-0.08878466859892775,-0.14658868754491916,187.5857235128876,64.40051846666638,48.323075143518004
G,random_fivefold_cv,2,LightGBM,ok,777,195,-0.028724944499368688,0.0002721856601838324,128.37397673817262,49.25999332481884,69.46351089881554
G,random_fivefold_cv,3,LightGBM,ok,778,194,-0.19252815656287448,-0.18468344428157457,80.53647166378784,39.020096440855376,40.33276233337729
G,random_fivefold_cv,4,LightGBM,ok,778,194,0.06449296637675495,-0.0921732440873726,160.68377492135534,52.4352296323546,56.24335473605222
G,random_fivefold_cv,5,LightGBM,ok,778,194,-0.017605946279394713,-0.02567760578295397,737.5720177299803,128.2809798922828,40.23650972705367
G,random_fivefold_cv,pooled,LightGBM,ok,778,972,-0.010488242539489878,-0.0713638668815344,354.1072697486027,66.65909789778316,50.93624884441643
