target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
H,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-1.8751166836666457,-1.6242803653603586,0.39982855644547644,0.2010576656387892,435.28250774627645
H,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-1.2445879443127978,-1.265023632589776,0.35327620348823224,0.2034964641038536,472.9673119115155
H,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.6324107329375499,-0.9122968613839924,0.30127340253583046,0.21569220260428312,551.1772645078154
H,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-1.9502605683239493,-1.710593333925556,0.40501980379340613,0.19745277573145414,371.35397118388215
H,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-1.325356102993556,-1.3249280470494251,0.35957609069069185,0.18747946587756292,342.6694068359717
H,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.5803836492469516,-0.7856949366385757,0.29643353664284205,0.17277556440597425,311.3349563892439
H,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-1.428018122227508,-1.34031696190165,0.3674278178427546,0.18755811109717138,372.0974361513632
H,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.5661783851896403,-0.6785006494485513,0.2950982843200992,0.16757605671354142,340.2928025711443
H,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.08159976000257352,-0.1455542235549674,0.24523325504402005,0.14598938869973163,300.38476118483175
H,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-1.4253154240055341,-1.3207567062275487,0.3672232635599614,0.19002973875529264,411.963138951177
H,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.6134841084398122,-0.7490214032054507,0.29952178670145196,0.17863019568311136,423.68333302043453
H,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.39461660707209045,-0.5674382255539032,0.27846684080668277,0.1843637012307691,483.0439280814674
