feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,temporal_2022_2026,C,RF,ok,938,34,28,-0.06034971282200763,-0.30436336088515326,35.03125415980201,24.04059273083029,67.41064571236835
baseline,temporal_2022_2026,C,ExtraTrees,ok,938,34,28,-0.055421716859819004,-0.2940822235409404,34.949755139126474,22.874802575476245,64.4200491310234
baseline,temporal_2022_2026,C,HistGBR,ok,938,34,28,-0.03445632184016567,-0.15130084798203192,34.600884702747564,22.83466991692686,59.258411581187595
baseline,temporal_2022_2026,C,ElasticNet,ok,938,34,28,-0.05224278179784281,-0.43381891672832373,34.897081033997615,27.09231286036827,78.83929974858046
baseline,temporal_2022_2026,C,PLSR,ok,938,34,28,-0.14118125690586258,-0.5656898912483306,36.34196780668047,28.71189771125523,84.22215173472986
baseline,temporal_2022_2026,C,XGBoost,ok,938,34,28,0.003233364315374021,-0.17693176222956675,33.964706855234446,21.97187142226275,58.233028838526316
baseline,temporal_2022_2026,C,LightGBM,ok,938,34,28,-0.05570137971298528,-0.20341112088687696,34.95438527923414,23.486456121706176,61.917792097907935
baseline,temporal_2022_2026,C,CatBoost,ok,938,34,28,-0.0349635946003477,-0.2473383218182783,34.609367388127055,22.463995770247067,62.32038474732322
baseline,temporal_2022_2026,C,NGBoost,ok,938,34,28,-0.04043382138776752,-0.22624662569881648,34.70070953179988,23.31431925939118,62.51280288678631
baseline,temporal_2022_2026,D,RF,ok,938,34,28,0.12839732168157691,0.29842692444221597,47.051277027894464,17.051060393369692,28.763517687463562
baseline,temporal_2022_2026,D,ExtraTrees,ok,938,34,28,0.10714312432470796,0.2806225608041363,47.621498900290796,17.900645242396116,29.723203381233454
baseline,temporal_2022_2026,D,HistGBR,ok,938,34,28,0.10357489701892098,0.19610043104518327,47.71656167220143,17.58968961755286,30.633347066842433
baseline,temporal_2022_2026,D,ElasticNet,ok,938,34,28,0.15727767295690176,0.3477473183966,46.265193964698476,16.603212897898462,28.53524131906779
baseline,temporal_2022_2026,D,PLSR,ok,938,34,28,0.15243241219221715,0.3176739568773985,46.39800499333013,16.93388981054509,30.242750713801573
baseline,temporal_2022_2026,D,XGBoost,ok,938,34,28,0.1601409731352924,0.35703083641493805,46.18652994390888,15.990462634367104,26.576897113812343
baseline,temporal_2022_2026,D,LightGBM,ok,938,34,28,0.12899383991085211,0.20371530429256968,47.035173504465256,18.00302440262566,33.09990514104517
baseline,temporal_2022_2026,D,CatBoost,ok,938,34,28,0.13829238935686616,0.3286458277318738,46.78343450946031,17.095455095319526,28.204607045207155
baseline,temporal_2022_2026,D,NGBoost,ok,938,34,28,0.25284542089913775,0.4670451962397444,43.56295869664848,15.81514837507352,26.66207150969044
baseline,temporal_2022_2026,E,RF,ok,938,34,28,-0.025901925611150567,-0.009731888955917478,24.647773823374656,11.402563023854755,26.112983045621363
baseline,temporal_2022_2026,E,ExtraTrees,ok,938,34,28,0.07426794072963216,0.09357820358441049,23.413558763848556,10.688648498109098,25.00694089825496
baseline,temporal_2022_2026,E,HistGBR,ok,938,34,28,0.040331392331286464,0.03197550122603987,23.83885663728747,12.028400508426222,29.230370955163583
baseline,temporal_2022_2026,E,ElasticNet,ok,938,34,28,0.25491659615375595,0.2480819118786043,21.005219421731034,10.235626304625777,24.98836457198722
baseline,temporal_2022_2026,E,PLSR,ok,938,34,28,0.3449180557023108,0.29514408103513745,19.695753137850637,9.955407216682822,25.151566910573003
baseline,temporal_2022_2026,E,XGBoost,ok,938,34,28,0.08217151779637,0.08744024241885673,23.313396122677766,11.297008787267346,27.663437630153727
baseline,temporal_2022_2026,E,LightGBM,ok,938,34,28,0.1400255256597226,0.12594255903031093,22.566674149652023,11.528228653182408,27.04399143476343
baseline,temporal_2022_2026,E,CatBoost,ok,938,34,28,0.12934815371501018,0.13745991096163468,22.706334962549356,10.686368766010785,25.622925878517087
baseline,temporal_2022_2026,E,NGBoost,ok,938,34,28,0.18064741287994968,0.1857121464745758,22.027245505417504,10.336125224492346,23.938540133390624
baseline,temporal_2022_2026,F,RF,ok,938,34,28,-0.09564240963785697,-1.0603449296838137,84.20190034769503,52.663701133123645,37.9341649846261
baseline,temporal_2022_2026,F,ExtraTrees,ok,938,34,28,-0.08473977861546911,-0.6344341311653467,83.78191045667585,47.930610262759615,33.4486378259146
baseline,temporal_2022_2026,F,HistGBR,ok,938,34,28,-0.1188327709329815,-0.7348738745402754,85.08834278270538,51.784341060678635,39.151193789609536
baseline,temporal_2022_2026,F,ElasticNet,ok,938,34,28,0.03710023134875018,-1.0727937957026787,78.93652745484182,51.047347031294294,37.83109815734696
baseline,temporal_2022_2026,F,PLSR,ok,938,34,28,-0.01443387486755543,-1.38904182435232,81.02132617722268,53.88976206846111,40.47867330400905
baseline,temporal_2022_2026,F,XGBoost,ok,938,34,28,-0.0685023336723447,-0.6006051590004482,83.15248134685665,49.02594136585908,35.36221786691346
