protocol,target,source,method,model,n_train,n_test,r2,r2_log1p,rmse,mae,mape,base_candidate
literature_2019_2020,H,distributional_robust,distributional_robust,Poisson_raw,815.0,100.0,0.267181106232737,0.2190607555224798,0.3056463171924401,0.1373948072493339,116.39996859799405,
temporal_2022_2026,A,distributional_robust,distributional_robust,HistGBR_absolute_yj,938.0,34.0,0.0981501489989242,0.1933267660791598,18.23873068755281,6.879959871079018,42.48787178887157,
temporal_2022_2026,B,distributional_robust,distributional_robust,Ridge_qnormal,938.0,34.0,0.2883191454594288,0.1462225737313571,1.7349750769665893,0.7949154054775962,314.59742959398403,
temporal_2022_2026,C,distributional_robust,distributional_robust,HistGBR_squared_yj,938.0,34.0,-0.0291270962203444,-0.3067409227373168,34.51164264394018,25.467140120037964,72.10617964109932,
temporal_2022_2026,D,distributional_robust,distributional_robust,ExtraTrees_yj,938.0,34.0,0.201620438402499,0.4046960533662882,45.03154446744208,15.0655869439961,25.576026532403706,
temporal_2022_2026,E,distributional_robust,distributional_robust,ExtraTrees_yj,938.0,34.0,0.4123916097863239,0.2237553586433965,18.6538625229028,9.677261082251924,24.308547891454733,
temporal_2022_2026,F,distributional_robust,distributional_robust,HistGBR_squared_yj,938.0,34.0,-0.3083380533930322,-1.3424293937671563,92.0126338624727,63.78419940235311,52.0018216676406,
temporal_2022_2026,G,distributional_robust,distributional_robust,RF_yj,938.0,34.0,-0.2032319638783686,-0.2239379610889873,30.098176304779766,22.0714911027372,40.8891156311722,
temporal_2022_2026,H,distributional_robust,distributional_robust,HistGBR_squared_yj,938.0,34.0,-0.0157308359561401,0.0039014307198997,0.2376486711045652,0.1061320751549297,141.99669428720844,
literature_2019_2020,A,local_analog_memory,local_analog_memory_ml,XGBoost,815.0,100.0,0.1216482374806814,-0.0114435901400855,13.100970760112494,7.198163250274657,47.27432056955183,
literature_2019_2020,B,local_analog_memory,local_analog_memory_ml,ElasticNet,815.0,100.0,0.0697704173016311,-0.2120936982026315,2.096559496876368,1.11050720512754,314.2430638940678,
literature_2019_2020,C,local_analog_memory,local_analog_memory_ml,XGBoost,815.0,100.0,0.0265543101568845,0.003291788311026,51.70064562973227,24.399734886627197,38.08201790088505,
literature_2019_2020,D,local_analog_memory,local_analog_memory_ml,CatBoost,815.0,100.0,0.0934128564196743,-0.1646903584581425,54.81000183330812,23.298770472834,57.68943443715607,
literature_2019_2020,E,local_analog_memory,local_analog_memory_ml,CatBoost,815.0,100.0,0.1032186506122524,0.0772299842554171,10.631898398516988,7.342006717234705,27.50966107009617,
literature_2019_2020,F,local_analog_memory,local_analog_memory_ml,CatBoost,815.0,100.0,0.1501513306297248,0.3075545404329806,79.12032436973892,36.85496969092594,58.42667646203936,
literature_2019_2020,G,local_analog_memory,local_analog_memory_ml,NGBoost,815.0,100.0,0.0179015001812614,-0.1266669934981834,123.47957020359608,51.48749086734508,41.88658532813446,
literature_2019_2020,H,local_analog_memory,local_analog_direct,AnalogIDW,815.0,100.0,0.407461016402685,0.4547125412310117,0.2748395965649325,0.1074501884734712,78.05090234270283,
temporal_2022_2026,A,local_analog_memory,local_analog_memory_ml,XGBoost,938.0,34.0,0.2289230417205197,0.2108284461857131,16.864612019171815,7.326824374928194,50.76332076467335,
temporal_2022_2026,B,local_analog_memory,local_analog_memory_ml,LightGBM,938.0,34.0,0.3131245285704618,0.1928045413969482,1.704470947264089,0.8213995728590835,295.9347051326349,
temporal_2022_2026,C,local_analog_memory,local_analog_memory_ml,ElasticNet,938.0,34.0,0.067145578091758,-0.2173761013185011,32.857768204648345,22.782459785400015,64.34888166094156,
temporal_2022_2026,D,local_analog_memory,local_analog_memory_ml,LightGBM,938.0,34.0,0.2879669865795169,0.4825427470902337,42.52675079422871,16.26440034050106,29.33042579396701,
temporal_2022_2026,E,local_analog_memory,local_analog_memory_ml,NGBoost,938.0,34.0,0.536801423697371,0.2102161708361463,16.561832404176638,9.42416889723917,27.800927349932387,
temporal_2022_2026,F,local_analog_memory,local_analog_memory_ml,LightGBM,938.0,34.0,0.262000062705053,-0.5567702848215503,69.10598132275591,46.38015400095037,38.520026975043415,
temporal_2022_2026,G,local_analog_memory,local_analog_memory_ml,NGBoost,938.0,34.0,0.1002913000830666,-0.1441134850946666,26.026541515279952,19.349828810764205,38.90396906892587,
temporal_2022_2026,H,local_analog_memory,local_analog_memory_ml,ElasticNet,938.0,34.0,0.0334748899242748,0.0669316097793407,0.2318209291901688,0.1115224175421364,176.47270307342876,
literature_2019_2020,A,causal_history_memory,causal_history_ml,ExtraTrees,815.0,100.0,0.1033251406186763,0.0996656365776583,13.236913640574544,6.652773076943372,41.7828796788089,
literature_2019_2020,B,causal_history_memory,causal_history_direct,CausalKNN12Median,815.0,100.0,0.0133666404180932,-0.1370867308438115,2.1591858026580297,0.9439780000000002,129.75679084255995,
literature_2019_2020,C,causal_history_memory,causal_history_ml,ExtraTrees,815.0,100.0,-0.009013947803852,-0.1541088137867479,52.63670414940742,26.945227285488595,38.35533259324232,
literature_2019_2020,D,causal_history_memory,causal_history_ml,ExtraTrees,815.0,100.0,0.0967820383327486,-0.0415950200722861,54.70806085784082,22.21889537034802,53.076711774037896,
literature_2019_2020,E,causal_history_memory,causal_history_ml,ExtraTrees,815.0,100.0,0.0676935894304214,0.0837368198312958,10.840438979992276,7.534437768805965,26.961816661717485,
literature_2019_2020,F,causal_history_memory,causal_history_ml,LightGBM,815.0,100.0,0.1886447756585443,0.3360570782032683,77.30770453870981,35.83908714520389,59.41174591885196,
literature_2019_2020,G,causal_history_memory,causal_history_ml,HistGBR,815.0,100.0,0.1115354889513973,0.082350883336745,117.44583713287902,48.014963208602005,39.84767889152078,
literature_2019_2020,H,causal_history_memory,causal_history_ml,ExtraTrees,815.0,100.0,0.6031996331293177,0.6165394044440651,0.2249090187438615,0.1017976006037649,88.27303653896911,
temporal_2022_2026,A,causal_history_memory,causal_history_ml,ElasticNet,938.0,34.0,0.1732070794557887,0.1443259962189291,17.463281967997972,7.587138726698809,56.17128667099853,
temporal_2022_2026,B,causal_history_memory,causal_history_ml,ExtraTrees,938.0,34.0,0.3078163318746316,0.1069067874535696,1.7110443761289598,0.9200920754012348,391.6685837217354,
temporal_2022_2026,C,causal_history_memory,causal_history_ml,XGBoost,938.0,34.0,0.053474085899579,-0.1278741179985691,33.097666730220524,23.02214401604148,63.43418408820758,
temporal_2022_2026,D,causal_history_memory,causal_history_ml,HistGBR,938.0,34.0,0.3437965377677854,0.5234129240120051,40.82548905035798,15.892140621211508,27.934234975218654,
temporal_2022_2026,E,causal_history_memory,causal_history_ml,LightGBM,938.0,34.0,0.3881327261683803,0.2786002182404455,19.03502231265861,9.969631463369382,23.885945142091657,
temporal_2022_2026,F,causal_history_memory,causal_history_ml,LightGBM,938.0,34.0,0.3413546827757919,0.0063584265275655,65.2849807235738,39.7115529103262,30.939277523004638,
temporal_2022_2026,G,causal_history_memory,causal_history_direct,CausalKNN12Median,938.0,34.0,-0.0491627505411154,-0.1663797159933735,28.10521637054756,18.575764705882357,36.634417092340776,
temporal_2022_2026,H,causal_history_memory,causal_history_direct,CausalRecentQ90,938.0,34.0,-0.0474943997906036,-0.1644880811802391,0.2413358978441361,0.1695794117647059,408.6415316789868,
literature_2019_2020,A,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,815.0,100.0,0.1718470083950521,0.0989413181106289,12.721095890812462,6.366854360528167,38.30961510983703,
literature_2019_2020,B,quantile_risk_gate,quantile_regression,QuantileP50,815.0,100.0,0.0056785724871442,0.0132690111753503,2.167581907797645,0.8551294894403801,125.94799289172384,
literature_2019_2020,C,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,815.0,100.0,0.071499329056424,0.0415992145588924,50.49300459369936,24.11315379096025,38.26054348785767,
literature_2019_2020,D,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,815.0,100.0,0.107597208614947,-0.1694916527262733,54.37953613029141,23.249320480140383,64.36732529084003,
literature_2019_2020,E,quantile_risk_gate,risk_gated_quantile,GateQ80_P75_pow1,815.0,100.0,0.0751502623119433,0.0513951734495466,10.797000532758632,7.331797528721622,27.685184957710785,
literature_2019_2020,F,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,815.0,100.0,0.1594294659695101,0.2769746167200422,78.68724510409398,40.00293691030034,66.43879009600194,
literature_2019_2020,G,quantile_risk_gate,quantile_regression,QuantileP75,815.0,100.0,-0.0493290378499857,-0.2500140674440396,127.63607217744034,57.90529408318451,53.82040448800224,
literature_2019_2020,H,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,815.0,100.0,0.506470723010255,0.5244337793525007,0.2508287412450786,0.0852631949880775,46.9847875273503,
temporal_2022_2026,A,quantile_risk_gate,risk_gated_quantile,GateQ80_P75_pow2,938.0,34.0,0.1016636423768829,0.184338122738633,18.203168118676206,7.207930763833199,46.82734780487642,
temporal_2022_2026,B,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,938.0,34.0,0.4526167423844467,0.4495795493294638,1.5215854757796996,0.6897384065399956,209.55408471946373,
temporal_2022_2026,C,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,938.0,34.0,-0.0172718139951011,-0.2233364254186616,34.312284171296085,23.48822882167563,65.00256331471644,
temporal_2022_2026,D,quantile_risk_gate,quantile_regression,QuantileP90,938.0,34.0,0.3335043657340968,0.1486342672213301,41.14440551030527,21.63302469964772,52.0728719298467,
temporal_2022_2026,E,quantile_risk_gate,quantile_regression,QuantileP90,938.0,34.0,0.5034663904128268,0.1716553701237505,17.14743253602895,10.78148372828819,35.07285965986677,
temporal_2022_2026,F,quantile_risk_gate,quantile_regression,QuantileP90,938.0,34.0,0.3013674196809665,0.026592233623789,67.2375520373992,42.84633949942162,34.39719479114865,
temporal_2022_2026,G,quantile_risk_gate,quantile_regression,QuantileP50,938.0,34.0,-0.0641281890621758,-0.2389839253113201,28.304955442582607,20.697477815043005,40.5560434713885,
temporal_2022_2026,H,quantile_risk_gate,quantile_regression,QuantileP50,938.0,34.0,0.0290340453778398,0.0666841815860879,0.2323528868607054,0.1022316852570764,133.96165519113964,
temporal_2022_2026,A,multi_evidence_fusion,multi_evidence_fusion,Top8InvRMSEMean,100.0,34.0,0.1161756621651759,0.1793917372072839,18.055539510669742,7.237583380794749,51.19341077397211,
temporal_2022_2026,B,multi_evidence_fusion,multi_evidence_fusion,Top5Median,100.0,34.0,0.0901146037899213,0.082501657459839,1.9617512881342656,0.903354466702746,338.7294195398878,
temporal_2022_2026,C,multi_evidence_fusion,multi_evidence_fusion,Top3Median,100.0,34.0,-0.0061730026289517,-0.1204038074242646,34.12459096744261,22.418468342374624,58.59944664581005,
temporal_2022_2026,D,multi_evidence_fusion,multi_evidence_fusion,Top8InvRMSEMean,100.0,34.0,0.1108941767090222,0.2422090730474637,47.5213603719483,17.683341664975284,30.38137048215217,
