protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
temporal_2022_2026,A,zone_temporal_baseline,ZoneLastAnnualMean,ok,938,34,2,-0.150116833426583,-0.11583361948239257,20.596739282639295,9.773255328218243,64.95521791744312
temporal_2022_2026,A,hybrid_spatiotemporal_sequence,ElasticNet,ok,938,34,54,0.07059045714576762,0.11468559903502096,18.515312880005595,7.623456183944008,54.16186110042086
temporal_2022_2026,A,hybrid_spatiotemporal_sequence,HistGBR,ok,938,34,54,0.19770403257983438,0.16629352382666374,17.202627934051854,7.10868804147858,48.45329246957691
temporal_2022_2026,A,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,0.21503972221451229,0.12045300348424293,17.015759231349932,7.426875960762005,52.39703677783808
temporal_2022_2026,A,hybrid_spatiotemporal_sequence,XGBoost,ok,938,34,54,0.15132168564945114,0.19668005586793957,17.69290086933007,7.3392355654099415,48.480447921566025
temporal_2022_2026,B,pure_temporal_baseline,LastAnnualMean,ok,938,34,1,-0.5635754003038842,-2.647773752137333,2.57163906090237,2.127764705882353,1523.0471581377371
temporal_2022_2026,B,pure_temporal_baseline,LinearAnnualTrend,ok,938,34,1,-0.1771039972880848,-1.381755874385055,2.2313002618714215,1.571590204946038,1055.359751308265
temporal_2022_2026,B,pure_temporal_baseline,ARIMAAnnualMean,ok,938,34,1,-0.21794015755777552,-1.4888085085853993,2.269674478444652,1.6190603898533547,1083.8027757466461
temporal_2022_2026,B,pure_temporal_baseline,LSTMAnnualMean,ok,938,34,1,-1.6174826861588025,-3.7991218132340343,3.3273041981115647,2.690062237743787,1948.6719557501474
temporal_2022_2026,B,zone_temporal_baseline,ZoneLinearTrend,ok,938,34,2,-0.8107304312174708,-1.2634448805719112,2.7674354471036953,1.5734287033767043,592.0190908869322
temporal_2022_2026,B,zone_temporal_baseline,ZoneLastAnnualMean,ok,938,34,2,-1.5467576436331947,-1.7309771414040855,3.2820440700230598,1.8022279411764708,596.3964631126415
temporal_2022_2026,B,hybrid_spatiotemporal_sequence,ElasticNet,ok,938,34,54,-0.006160669778167094,-0.0135408515103419,2.062928936226802,0.9308566357049626,391.1167757586842
temporal_2022_2026,B,hybrid_spatiotemporal_sequence,HistGBR,ok,938,34,54,-0.019968692065903015,-0.17060975304461046,2.077035980097031,0.9823118913439233,402.80086258570867
temporal_2022_2026,B,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,0.16157378901570085,-0.01936887172346413,1.8831417959737733,0.9256855136387263,392.8884745566219
temporal_2022_2026,B,hybrid_spatiotemporal_sequence,XGBoost,ok,938,34,54,0.06144364378877454,0.07766530532335225,1.99241946881225,0.9245531668172162,321.41348823276667
temporal_2022_2026,C,pure_temporal_baseline,LastAnnualMean,ok,938,34,1,-0.018935870156034262,-0.2701647078276852,34.340336770450435,23.978035805626604,68.00359958124169
temporal_2022_2026,C,pure_temporal_baseline,LinearAnnualTrend,ok,938,34,1,-0.20266837109871894,-0.7858882441257811,37.30818048868359,30.845089556534813,97.65726144691081
temporal_2022_2026,C,pure_temporal_baseline,ARIMAAnnualMean,ok,938,34,1,-0.06370022462216696,-0.42333163805741414,35.08655669640315,26.22657964243081,77.61055340264723
temporal_2022_2026,C,pure_temporal_baseline,LSTMAnnualMean,ok,938,34,1,-0.12522526803156286,-0.5899089379633946,36.08700687579492,27.893035646567117,85.41168172776347
temporal_2022_2026,C,zone_temporal_baseline,ZoneLinearTrend,ok,938,34,2,-0.30143487659350865,-1.0311344416317323,38.809884012843895,32.31542910329678,108.7736553395244
temporal_2022_2026,C,zone_temporal_baseline,ZoneLastAnnualMean,ok,938,34,2,-0.05302239021819566,-0.48025205897110324,34.910006292931634,26.623845907928384,75.64824592795674
temporal_2022_2026,C,hybrid_spatiotemporal_sequence,ElasticNet,ok,938,34,54,-0.14767836296791237,-0.5811734603781571,36.44527413866221,29.426775782478046,86.74444959807181
temporal_2022_2026,C,hybrid_spatiotemporal_sequence,HistGBR,ok,938,34,54,-0.09076468167518037,-0.300842791087105,35.530118663228215,23.651251994733517,65.40456529611397
temporal_2022_2026,C,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,-0.06965062712887216,-0.2320990845128026,35.18455797683579,23.496476464637198,62.7952042763548
temporal_2022_2026,C,hybrid_spatiotemporal_sequence,XGBoost,ok,938,34,54,-0.035481070247423085,-0.24142339227185494,34.61801854589505,22.80792892815085,63.44580552424062
temporal_2022_2026,D,pure_temporal_baseline,LastAnnualMean,ok,938,34,1,-0.0062743703004388696,-0.056269091151710304,50.55572500265734,21.60619948849105,42.36905088114567
temporal_2022_2026,D,pure_temporal_baseline,LinearAnnualTrend,ok,938,34,1,-0.007423869796418625,-0.2376480560685954,50.5845924742375,24.646117701607672,55.50199206529951
temporal_2022_2026,D,pure_temporal_baseline,ARIMAAnnualMean,ok,938,34,1,-0.021334192031616572,-0.04152800235808307,50.93262653825196,20.791755663320142,38.291602962629284
temporal_2022_2026,D,pure_temporal_baseline,LSTMAnnualMean,ok,938,34,1,-0.0974822143635099,-0.18136517447760392,52.79719895643868,19.313053392375046,27.718989552067484
temporal_2022_2026,D,zone_temporal_baseline,ZoneLinearTrend,ok,938,34,2,0.0402119933475682,-0.05393790556197753,49.374168691931246,22.553562566626763,46.957282843115124
temporal_2022_2026,D,zone_temporal_baseline,ZoneLastAnnualMean,ok,938,34,2,-0.22058189408538964,-0.8513507803118374,55.67953489515682,23.288436487638535,44.30831660367466
temporal_2022_2026,D,hybrid_spatiotemporal_sequence,ElasticNet,ok,938,34,54,0.16011597694085278,0.32718026787595433,46.187217249073264,16.291843195224565,28.616261177472822
temporal_2022_2026,D,hybrid_spatiotemporal_sequence,HistGBR,ok,938,34,54,0.20242093484094914,0.3380131132449201,45.00896333371595,16.415820105877547,28.764386990925267
temporal_2022_2026,D,hybrid_spatiotemporal_sequence,LightGBM,ok,938,34,54,0.2468274259049621,0.3849434721960254,43.73804688547724,15.743947027062283,30.254462496268975
temporal_2022_2026,D,hybrid_spatiotemporal_sequence,XGBoost,ok,938,34,54,0.19861889671291943,0.43091024322112537,45.116114053174286,15.542556406357713,25.305102612929144
temporal_2022_2026,E,pure_temporal_baseline,LastAnnualMean,ok,938,34,1,-0.1074475085285087,-0.06859571968988099,25.608630438057165,11.39561253196931,24.599406457167923
