protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape,high_threshold,train_high_rate,gate_train_auc
temporal_2022_2026,F,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,-0.011138347802720716,-0.9726279626542096,80.8896146946937,51.25598498507082,37.888994651700166,131.50400000000005,0.10021321961620469,1.0
temporal_2022_2026,F,risk_gated_quantile,GateQ90_P90_pow1.5,ok,938,34,45,-0.06801798490047717,-1.0909780926553303,83.13363283052962,52.88743922411585,39.05405587086379,131.50400000000005,0.10021321961620469,1.0
temporal_2022_2026,F,risk_gated_quantile,GateQ90_P90_pow2,ok,938,34,45,-0.10086269271433612,-1.1519022164990083,84.40225559928219,53.784244495915644,39.64959522019622,131.50400000000005,0.10021321961620469,1.0
temporal_2022_2026,F,risk_gated_quantile,GateQ80_P75_pow1,ok,938,34,45,-0.009935363093034333,-0.8311338812548266,80.8414818501547,52.55587026104977,40.728247867829694,84.36,0.20042643923240938,1.0
temporal_2022_2026,F,risk_gated_quantile,GateQ80_P75_pow1.5,ok,938,34,45,-0.05275280190726184,-0.9565147839554018,82.53738001964486,53.57895435971916,41.022910931058455,84.36,0.20042643923240938,1.0
temporal_2022_2026,F,risk_gated_quantile,GateQ80_P75_pow2,ok,938,34,45,-0.081295054933197,-1.032100806578196,83.64877482965628,54.16632265339035,41.0729329561495,84.36,0.20042643923240938,1.0
temporal_2022_2026,G,quantile_regression,QuantileP50,ok,938,34,45,-0.06412818906217588,-0.23898392531132018,28.304955442582607,20.697477815043005,40.5560434713885,,,
temporal_2022_2026,G,quantile_regression,QuantileP75,ok,938,34,45,-1.483310565553595,-1.09986144907527,43.23953548378825,32.30494241157609,63.310216662424345,,,
temporal_2022_2026,G,quantile_regression,QuantileP90,ok,938,34,45,-8.883210942800885,-3.272889306999147,86.26100904192764,63.49259970100855,115.95281360182115,,,
temporal_2022_2026,G,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,-0.248858278343016,-0.36631179937417,30.663525094079088,21.982648539565794,43.556534325512004,161.09150000000008,0.10021321961620469,1.0
temporal_2022_2026,G,risk_gated_quantile,GateQ90_P90_pow1.5,ok,938,34,45,-0.1353354438885479,-0.2841989517727892,29.236649394334428,21.279124156352285,41.68082049980513,161.09150000000008,0.10021321961620469,1.0
temporal_2022_2026,G,risk_gated_quantile,GateQ90_P90_pow2,ok,938,34,45,-0.09673929455005004,-0.2584514488075458,28.735397127957242,20.976988751826905,41.04016407821175,161.09150000000008,0.10021321961620469,1.0
temporal_2022_2026,G,risk_gated_quantile,GateQ80_P75_pow1,ok,938,34,45,-0.3242189710544807,-0.42008834328752265,31.575148684693044,22.53119764849269,45.059393408130695,110.40200000000002,0.20042643923240938,1.0
temporal_2022_2026,G,risk_gated_quantile,GateQ80_P75_pow1.5,ok,938,34,45,-0.21861640786000147,-0.3435421804807428,30.289981790755544,21.5751129678367,42.9860134965459,110.40200000000002,0.20042643923240938,1.0
temporal_2022_2026,G,risk_gated_quantile,GateQ80_P75_pow2,ok,938,34,45,-0.1659964078521583,-0.3049149935676927,29.628803098115018,21.376883353538652,42.16626073774898,110.40200000000002,0.20042643923240938,1.0
temporal_2022_2026,H,quantile_regression,QuantileP50,ok,938,34,45,0.029034045377839823,0.06668418158608791,0.2323528868607054,0.10223168525707647,133.96165519113964,,,
temporal_2022_2026,H,quantile_regression,QuantileP75,ok,938,34,45,0.013226267737567188,0.03670193042522696,0.2342366572198778,0.11579820995664393,196.29234262885092,,,
temporal_2022_2026,H,quantile_regression,QuantileP90,ok,938,34,45,-0.22154521814867456,-0.3161362108254526,0.26061586240040463,0.1541945266883341,335.70118255499955,,,
temporal_2022_2026,H,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,0.026466396479305154,0.06154069825910169,0.23265990418457233,0.10518672902862228,140.73013921632852,0.20250000000000035,0.10021321961620469,1.0
temporal_2022_2026,H,risk_gated_quantile,GateQ90_P90_pow1.5,ok,938,34,45,0.028106060584631165,0.06488074107507957,0.23246389407493162,0.10318214676798447,135.79247902888676,0.20250000000000035,0.10021321961620469,1.0
temporal_2022_2026,H,risk_gated_quantile,GateQ90_P90_pow2,ok,938,34,45,0.02864599118890676,0.06595001186670824,0.2323993130528847,0.10255985411749985,134.54499265035753,0.20250000000000035,0.10021321961620469,1.0
